CCODE,SCODE,YEAR,XRREG,XRCOMP,XROPEN,XCONST,PARREG,PARCOMP,DEMOCRACY,AUTOCRACY,POLITY,ORIGIN
2,USA,1816,3,3,4,7,2,4,9,0,9,0
2,USA,1817,3,3,4,7,2,4,9,0,9,0
2,USA,1818,3,3,4,7,2,4,9,0,9,0
2,USA,1819,3,3,4,7,2,4,9,0,9,0
2,USA,1820,3,3,4,7,2,4,9,0,9,0
2,USA,1821,3,3,4,7,2,4,9,0,9,0
2,USA,1822,3,3,4,7,2,4,9,0,9,0
2,USA,1823,3,3,4,7,2,4,9,0,9,0
2,USA,1824,3,3,4,7,2,4,9,0,9,0
2,USA,1825,3,3,4,7,2,4,9,0,9,0
2,USA,1826,3,3,4,7,2,4,9,0,9,0
2,USA,1827,3,3,4,7,2,4,9,0,9,0
2,USA,1828,3,3,4,7,2,4,9,0,9,0
2,USA,1829,3,3,4,7,2,4,9,0,9,0
2,USA,1830,3,3,4,7,2,4,9,0,9,0
2,USA,1831,3,3,4,7,2,4,9,0,9,0
2,USA,1832,3,3,4,7,2,4,9,0,9,0
2,USA,1833,3,3,4,7,2,4,9,0,9,0
2,USA,1834,3,3,4,7,2,4,9,0,9,0
2,USA,1835,3,3,4,7,2,4,9,0,9,0
2,USA,1836,3,3,4,7,2,4,9,0,9,0
2,USA,1837,3,3,4,7,2,4,9,0,9,0
2,USA,1838,3,3,4,7,2,4,9,0,9,0
2,USA,1839,3,3,4,7,2,4,9,0,9,0
2,USA,1840,3,3,4,7,2,4,9,0,9,0
2,USA,1841,3,3,4,7,2,4,9,0,9,0
2,USA,1842,3,3,4,7,2,4,9,0,9,0
2,USA,1843,3,3,4,7,2,4,9,0,9,0
2,USA,1844,3,3,4,7,2,4,9,0,9,0
2,USA,1845,3,3,4,7,5,5,10,0,10,0
2,USA,1846,3,3,4,7,5,5,10,0,10,0
2,USA,1847,3,3,4,7,5,5,10,0,10,0
2,USA,1848,3,3,4,7,5,5,10,0,10,0
